run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
199,BST Search,1000,4266100,0.0,3,2026-08-19T09:16:47.095651700
200,Red Black Tree Search,1000,219700,0.0,3,2026-08-19T09:16:47.095651700
201,BST Insert,5000,90195600,0.0,1,2026-08-19T09:16:47.095651700
202,Red Black Tree Insert,5000,823000,1023.984375,1,2026-08-19T09:16:47.095651700
203,BST Search,5000,133672200,0.0,1,2026-08-19T09:16:47.095651700
204,Red Black Tree Search,5000,1369500,0.0,1,2026-08-19T09:16:47.095651700
205,BST Insert,5000,85141800,1024.015625,2,2026-08-19T09:16:47.095651700
206,Red Black Tree Insert,5000,779500,0.0,2,2026-08-19T09:16:47.095651700
207,BST Search,5000,128897300,0.0,2,2026-08-19T09:16:47.095651700
208,Red Black Tree Search,5000,1288100,1023.984375,2,2026-08-19T09:16:47.095651700
209,BST Insert,5000,85673800,0.0,3,2026-08-19T09:16:47.095651700
210,Red Black Tree Insert,5000,778800,0.0,3,2026-08-19T09:16:47.095651700
211,BST Search,5000,122232300,1024.015625,3,2026-08-19T09:16:47.095651700
212,Red Black Tree Search,5000,2210100,0.0,3,2026-08-19T09:16:47.095651700
213,BST Insert,10000,365442200,1023.984375,1,2026-08-19T09:16:47.095651700
214,Red Black Tree Insert,10000,1794700,0.0,1,2026-08-19T09:16:47.095651700
215,BST Search,10000,525969400,1024.03125,1,2026-08-19T09:16:47.095651700
216,Red Black Tree Search,10000,2724200,1023.96875,1,2026-08-19T09:16:47.095651700
217,BST Insert,10000,357257800,0.0,2,2026-08-19T09:16:47.095651700
218,Red Black Tree Insert,10000,1827800,1024.03125,2,2026-08-19T09:16:47.095651700
219,BST Search,10000,529898000,1023.96875,2,2026-08-19T09:16:47.095651700
220,Red Black Tree Search,10000,2901400,0.0,2,2026-08-19T09:16:47.095651700
221,BST Insert,10000,365697700,1024.015625,3,2026-08-19T09:16:47.095651700
222,Red Black Tree Insert,10000,1857900,1023.984375,3,2026-08-19T09:16:47.095651700
223,BST Search,10000,530650900,0.0,3,2026-08-19T09:16:47.095651700
224,Red Black Tree Search,10000,2692900,1024.015625,3,2026-08-19T09:16:47.095651700
225,BFS,50,2315900,0.0,1,2026-08-19T09:16:47.095651700
226,DFS,50,444000,0.0,1,2026-08-19T09:16:47.095651700
227,Dijkstra,50,2480200,0.0,1,2026-08-19T09:16:47.095651700
228,Prim MST,50,5761900,1023.984375,1,2026-08-19T09:16:47.095651700
229,Kruskal MST,50,4346100,0.0,1,2026-08-19T09:16:47.095651700
230,BFS,50,104200,0.0,2,2026-08-19T09:16:47.095651700
231,DFS,50,119000,0.0,2,2026-08-19T09:16:47.095651700
232,Dijkstra,50,338400,0.0,2,2026-08-19T09:16:47.095651700
233,Prim MST,50,442000,0.0,2,2026-08-19T09:16:47.095651700
234,Kruskal MST,50,768300,0.0,2,2026-08-19T09:16:47.095651700
